X,Y,portid,portname,country,ISO3,fullname,lat,lon,pageid,ObjectId
15076001.5547037,4115732.71235164,port862,Osaka,Japan,JPN,"Osaka, Japan",34.6449306,135.4300262,8cbadfcaed394ad6975364df125a5743,525
15697400.243859,5342600.90597159,port866,Otaru,Japan,JPN,"Otaru, Japan",43.20089912,141.0121456,f68b92ea1ee1460880288c45d71d79e1,526
15767311.5668769,5459060.88840866,port1116,Rumoi,Japan,JPN,"Rumoi, Japan",43.95875013,141.6401697,b9c7fa07a3974d34bf48e877505d82e6,527
14680280.4350876,3929155.59166347,port1119,Saganoseki,Japan,JPN,"Saganoseki, Japan",33.25466589,131.8752029,7a712847f5e74c4d9aba68ec9f739804,528
14831387.1037591,4236515.26701912,port1127,Sakai,Japan,JPN,"Sakai, Japan",35.53273365,133.2326172,59de0f5e318c4652865541e49b35ccd8,529
15075150.5505924,4103954.56368251,port1128,Sakai-Semboku,Japan,JPN,"Sakai-Semboku, Japan",34.5578402,135.4223815,20019011276849fe9c7971c688d7d133,530
14900070.6729811,4074608.4285757,port1129,Sakaide,Japan,JPN,"Sakaide, Japan",34.34045119,133.8496122,757c5c5e8d29467e8e09b821c0b4f5ee,531
15564904.6467072,4713840.87449701,port1130,Sakata,Japan,JPN,"Sakata, Japan",38.94531105,139.8219174,c64ca5d8e055469f8301ac0d86d3fae4,532
15699115.5102328,4619725.58505409,port1180,Sendai-Shiogama,Japan,JPN,"Sendai-Shiogama, Japan",38.28471956,141.0275541,23eb399e0ef24798873886c6b3f4fb43,533
14590322.7538274,3687842.05007448,port1190,Shibushi,Japan,JPN,"Shibushi, Japan",31.42327287,131.0670993,a2a19350a6f04952a0efebc0118cf3a2,534
15418177.5873661,4166670.85331113,port1193,Shimizu,Japan,JPN,"Shimizu, Japan",35.02052569,138.5038458,53308df332344cc5a3795ae767002209,535
14837950.4452766,3947539.37046659,port1239,Susaki,Japan,JPN,"Susaki, Japan",33.39265719,133.2915767,19c67b5a25b145889c41a89a6493cf0c,536
14989325.3382611,4011456.0302077,port1247,Tachibana,Japan,JPN,"Tachibana, Japan",33.87071976,134.6514005,7ecfa02f03cd4bb585c33f28cb019b37,537
15439350.9218693,4183383.9122575,port1250,Tagonoura,Japan,JPN,"Tagonoura, Japan",35.14338652,138.6940491,16f05a318c1743f69d9871f6f959316b,538
14924395.5624562,4076679.122392,port1254,Takamatsu,Japan,JPN,"Takamatsu, Japan",34.35580893,134.0681264,902300002e5049ea9cb730718b1bc15f,539
14881021.2364386,4060067.43796644,port1256,Takuma,Japan,JPN,"Takuma, Japan",34.23252565,133.6784882,c322c5fc714d4ce3956dc69447ea22f2,540
15954655.0897748,5205857.94657456,port1303,Tokachi,Japan,JPN,"Tokachi, Japan",42.29889363,143.3231052,06db121092214c58884b4fa3be81d440,541
14670003.8538436,4034161.78181121,port1304,Tokuyama,Japan,JPN,"Tokuyama, Japan",34.03990671,131.7828868,02dc2ac78b504267853f9ac5b0013ac3,542
15561638.6107709,4246551.87581248,port1305,Tokyo,Japan,JPN,"Tokyo, Japan",35.60607114,139.7925781,27118c1e4b3d424f9046df0fc1e0fb5f,543
15776546.5539094,5256960.71994418,port1308,Tomakomai,Japan,JPN,"Tomakomai, Japan",42.63752185,141.723129,9430d942c25a45a9abc03c321732c628,544
14678582.7015335,3906244.52326251,port1324,Tsukumi,Japan,JPN,"Tsukumi, Japan",33.08238663,131.8599519,d97ccfab381c406bb2f20b295372a219,545
-492189.728613337,4398511.45992476,port686,Malaga,Spain,ESP,"Malaga, Spain",36.70820113,-4.421415559,a9a2f7149e644c0285534e7cbd80f5c0,546
-3878320.69050765,-777750.13074548,port200,Cabedelo,Brazil,BRA,"Cabedelo, Brazil",-6.969397877,-34.83954753,6a20e58219d34adfad649082bb818509,547
-6003854.88184838,5997568.74091746,port66,Argentia,Canada,CAN,"Argentia, Canada",47.33890642,-53.93354604,7f4d3b7eb2a945c190dbb967eef47737,548
-4924241.65568516,-2638914.44907086,port382,Gebig,Brazil,BRA,"Gebig, Brazil",-23.05700966,-44.23521542,22c4d6762b2f46809d7ccd263c5b2212,549
-6723696.96338861,7046682.59678588,port405,Goose Bay,Canada,CAN,"Goose Bay, Canada",53.34292072,-60.39999748,d1e3eafaed3e449ba2d3083e195a0ac1,550
-7946357.2614114,5129013.02795218,port1024,Providence,United States,USA,"Providence, United States",41.78624139,-71.38334181,a0349e0247b641c6b4996ed5be86f111,551
-13662854.0190428,5715721.51022186,port993,"Portland, OR",United States,USA,"Portland, OR, United States",45.59523874,-122.7355059,ff27216426bc41baaabbf674adefd1ea,552
